"Age","Checking Account Status","Credit Amount","Credit History","Duration in month","Housing","Installment rate in % of disposable income","Job type","Number of dependents","Number of existing credits","Other installment plans","Personal Status","Present Employment since","Present residence since","Property","Purpose","Savings Account/Bonds","Telephone","CreditRatingGood?"
27,"Less than 0 DM",3643,"delay in paying off in the past",15,"own",1,"unskilled - resident",1,2,"none","female divorced separated married","Greater than 7 years",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
28,"0 to 200 DM",4249,"critical account other credits existing (not at this bank)",30,"own",4,"management self-employed highly qualified employee officer",1,2,"none","male married widowed","unemployed",2,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
32,"Less than 0 DM",1938,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","male divorced separated","Less than 1 year",3,"building society savings agreement life insurance","radio television","Less than 100 DM","none","false"
34,"Less than 0 DM",2910,"existing credits paid back duly till now",24,"for free",2,"management self-employed highly qualified employee officer",1,1,"none","male single","4 to 7 years",1,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","true"
28,"Less than 0 DM",2659,"existing credits paid back duly till now",18,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","furniture equipment","Greater than 1000 DM","none","true"
36,"no checking account",1028,"critical account other credits existing (not at this bank)",18,"own",4,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",3,"real estate","new car","Less than 100 DM","none","true"
39,"Less than 0 DM",3398,"critical account other credits existing (not at this bank)",8,"own",1,"unskilled - resident",1,2,"none","male single","4 to 7 years",4,"real estate","new car","Less than 100 DM","none","true"
49,"no checking account",5801,"critical account other credits existing (not at this bank)",12,"rent",2,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","furniture equipment","unknown no savings account","yes registered under the customers name","true"
34,"no checking account",1525,"existing credits paid back duly till now",24,"own",4,"skilled employee official",2,1,"none","female divorced separated married","4 to 7 years",3,"car or other not in attribute 6","new car","Greater than 1000 DM","yes registered under the customers name","true"
31,"Greater than 200 DM",4473,"existing credits paid back duly till now",36,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
28,"0 to 200 DM",1068,"existing credits paid back duly till now",6,"own",4,"skilled employee official",2,1,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
75,"Less than 0 DM",6615,"critical account other credits existing (not at this bank)",24,"for free",2,"management self-employed highly qualified employee officer",1,2,"none","male single","unemployed",4,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","true"
30,"no checking account",1864,"critical account other credits existing (not at this bank)",18,"own",4,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",2,"real estate","education","100 to 500 DM","none","false"
24,"0 to 200 DM",7408,"existing credits paid back duly till now",60,"own",4,"management self-employed highly qualified employee officer",1,1,"none","female divorced separated married","Less than 1 year",2,"building society savings agreement life insurance","new car","100 to 500 DM","none","false"
24,"no checking account",11590,"critical account other credits existing (not at this bank)",48,"rent",2,"unskilled - resident",1,2,"bank","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","used car","100 to 500 DM","none","false"
23,"Less than 0 DM",4110,"no credits taken all credits paid back duly",24,"rent",3,"skilled employee official",2,2,"bank","male single","Greater than 7 years",4,"unknown / no property","furniture equipment","Less than 100 DM","none","false"
44,"Less than 0 DM",3384,"critical account other credits existing (not at this bank)",6,"rent",1,"management self-employed highly qualified employee officer",1,1,"none","male divorced separated","1 to 4 years",4,"real estate","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
23,"0 to 200 DM",2101,"existing credits paid back duly till now",13,"own",2,"unskilled - resident",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","radio television","Less than 100 DM","none","true"
24,"Less than 0 DM",1275,"existing credits paid back duly till now",15,"rent",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",2,"car or other not in attribute 6","domestic appliances","unknown no savings account","none","false"
28,"Less than 0 DM",4169,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
31,"0 to 200 DM",1521,"existing credits paid back duly till now",10,"own",4,"unskilled - resident",1,1,"none","male divorced separated","1 to 4 years",2,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","true"
24,"0 to 200 DM",5743,"critical account other credits existing (not at this bank)",24,"for free",2,"skilled employee official",1,2,"none","female divorced separated married","Less than 1 year",4,"unknown / no property","education","Less than 100 DM","yes registered under the customers name","true"
26,"Less than 0 DM",3599,"existing credits paid back duly till now",21,"rent",1,"unskilled - resident",1,1,"none","female divorced separated married","4 to 7 years",4,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","true"
25,"0 to 200 DM",3213,"existing credits paid back duly till now",18,"rent",1,"skilled employee official",1,1,"none","male married widowed","Less than 1 year",3,"real estate","radio television","500 to 1000 DM","none","true"
33,"0 to 200 DM",4439,"existing credits paid back duly till now",18,"own",1,"management self-employed highly qualified employee officer",1,1,"bank","male single","Greater than 7 years",1,"real estate","business","Less than 100 DM","yes registered under the customers name","true"
37,"Greater than 200 DM",3949,"existing credits paid back duly till now",10,"own",1,"unskilled - resident",2,1,"none","male single","Less than 1 year",1,"building society savings agreement life insurance","new car","Less than 100 DM","none","true"
43,"no checking account",1459,"critical account other credits existing (not at this bank)",15,"own",4,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
